Município,CÓDIGO,NOME,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,SOMA,SUBTRAÇÃO,MÉDIA
411500 MARILENA,,,4,10,4,9,7,5,5,13,,,
411510 MARILUZ,,,-,-,-,-,-,-,-,-,,,
411520 MARINGA,,,560,514,492,570,504,116,61,19,,,
411530 MARIOPOLIS,,,-,-,-,-,-,-,-,-,,,
411535 MARIPA,,,-,-,-,-,-,-,-,-,,,
411540 MARMELEIRO,,,-,-,-,-,-,-,-,-,,,
411545 MARQUINHO,,,-,-,-,-,-,-,-,-,,,
411550 MARUMBI,,,-,-,-,-,-,-,-,-,,,
411560 MATELANDIA,,,11,35,95,18,11,8,2,1,,,
411570 MATINHOS,,,-,-,-,-,-,-,-,-,,,
411573 MATO RICO,,,-,-,-,-,-,-,-,-,,,
411575 MAUA DA SERRA,,,-,-,-,-,-,-,-,-,,,
411580 MEDIANEIRA,,,14,21,29,26,14,11,6,3,,,
411585 MERCEDES,,,-,-,-,-,-,-,-,-,,,
411590 MIRADOR,,,-,-,-,-,-,-,-,-,,,
411600 MIRASELVA,,,-,-,1,-,-,-,-,-,,,
411605 MISSAL,,,18,20,19,8,9,6,11,8,,,
411610 MOREIRA SALES,,,-,-,-,-,-,-,-,-,,,
411620 MORRETES,,,-,1,1,-,-,-,-,1,,,
411630 MUNHOZ DE MELO,,,-,-,-,-,-,-,-,-,,,
411640 NOSSA SENHORA DAS GRACAS,,,-,-,-,-,-,-,-,-,,,
411650 NOVA ALIANCA DO IVAI,,,-,-,-,-,-,-,-,-,,,
411660 NOVA AMERICA DA COLINA,,,-,-,-,-,-,-,-,-,,,
411670 NOVA AURORA,,,31,58,48,46,36,37,29,28,,,
411680 NOVA CANTU,,,3,3,12,3,9,2,5,3,,,
411690 NOVA ESPERANCA,,,11,12,10,14,16,10,2,-,,,
411695 NOVA ESPERANCA DO SUDOESTE,,,1,1,11,7,2,3,-,-,,,
411700 NOVA FATIMA,,,12,2,11,7,7,5,5,6,,,
411705 NOVA LARANJEIRAS,,,-,-,-,-,-,-,-,-,,,
411710 NOVA LONDRINA,,,18,12,6,10,7,-,-,-,,,
411720 NOVA OLIMPIA,,,-,-,-,-,-,-,-,-,,,
411721 NOVA SANTA BARBARA,,,-,-,-,-,-,-,-,-,,,
411722 NOVA SANTA ROSA,,,7,8,23,4,5,-,1,-,,,
411725 NOVA PRATA DO IGUACU,,,-,-,-,-,-,-,-,-,,,
411727 NOVA TEBAS,,,-,2,4,2,2,6,1,-,,,
411729 NOVO ITACOLOMI,,,-,-,-,-,-,-,-,-,,,
411730 ORTIGUEIRA,,,-,-,-,-,-,-,-,-,,,
411740 OURIZONA,,,-,-,-,-,-,-,-,-,,,
411745 OURO VERDE DO OESTE,,,-,-,-,-,-,-,-,-,,,
411750 PAICANDU,,,19,8,10,5,7,2,3,-,,,
411760 PALMAS,,,61,45,38,24,8,6,1,-,,,
411770 PALMEIRA,,,9,14,6,2,5,1,2,3,,,
411780 PALMITAL,,,-,-,-,-,-,-,-,-,,,
411790 PALOTINA,,,26,41,27,57,45,29,21,18,,,
411800 PARAISO DO NORTE,,,-,-,-,-,-,-,-,-,,,
411810 PARANACITY,,,-,-,-,-,-,-,-,-,,,
411820 PARANAGUA,,,93,37,31,28,37,17,11,2,,,
411830 PARANAPOEMA,,,-,-,-,-,-,-,-,-,,,
411840 PARANAVAI,,,30,42,28,28,36,25,17,8,,,
411845 PATO BRAGADO,,,9,9,3,4,7,1,6,3,,,
411850 PATO BRANCO,,,48,42,61,78,53,39,40,28,,,
411860 PAULA FREITAS,,,-,-,-,-,-,-,-,-,,,
411870 PAULO FRONTIN,,,1,1,-,-,-,-,-,-,,,
411880 PEABIRU,,,-,-,-,-,-,-,-,-,,,
411885 PEROBAL,,,-,-,-,-,-,-,-,-,,,
411890 PEROLA,,,2,1,3,4,1,-,1,-,,,
411900 PEROLA D'OESTE,,,-,-,-,-,-,-,-,-,,,
411910 PIEN,,,26,20,11,20,21,25,15,15,,,
411915 PINHAIS,,,16,9,23,7,4,3,12,6,,,
411920 PINHALAO,,,9,7,7,9,13,14,-,-,,,
411925 PINHAL DE SAO BENTO,,,-,-,-,-,-,-,-,-,,,
411930 PINHAO,,,12,10,9,11,15,7,10,15,,,
411940 PIRAI DO SUL,,,1,1,-,3,-,-,-,-,,,
411950 PIRAQUARA,,,-,-,-,-,-,-,-,-,,,
411960 PITANGA,,,24,34,27,40,39,14,29,3,,,
411965 PITANGUEIRAS,,,-,-,-,-,-,-,-,-,,,
411970 PLANALTINA DO PARANA,,,-,2,2,1,2,-,-,2,,,
411980 PLANALTO,,,38,23,20,15,21,10,9,11,,,
411990 PONTA GROSSA,,,231,190,124,95,65,111,111,67,,,
411995 PONTAL DO PARANA,,,-,-,-,-,-,-,-,-,,,
412000 PORECATU,,,2,4,1,1,3,1,3,-,,,
412010 PORTO AMAZONAS,,,-,-,-,-,-,-,-,-,,,
412015 PORTO BARREIRO,,,-,-,-,-,-,-,-,-,,,
412020 PORTO RICO,,,-,2,-,6,5,-,-,-,,,
412030 PORTO VITORIA,,,-,-,-,-,-,-,-,-,,,
412033 PRADO FERREIRA,,,-,-,-,1,-,1,-,1,,,
412035 PRANCHITA,,,23,16,12,30,26,8,3,7,,,
412040 PRESIDENTE CASTELO BRANCO,,,-,-,-,-,-,-,-,-,,,
412050 PRIMEIRO DE MAIO,,,-,-,-,-,-,-,-,-,,,
412060 PRUDENTOPOLIS,,,20,30,15,15,8,12,6,8,,,
412065 QUARTO CENTENARIO,,,-,-,-,-,-,-,-,-,,,
412070 QUATIGUA,,,-,-,-,-,-,-,-,-,,,
412080 QUATRO BARRAS,,,-,-,-,-,-,-,-,-,,,
412085 QUATRO PONTES,,,-,-,-,-,-,-,-,-,,,
412090 QUEDAS DO IGUACU,,,22,21,16,15,12,10,15,3,,,
412100 QUERENCIA DO NORTE,,,11,4,3,3,3,-,-,-,,,
412110 QUINTA DO SOL,,,-,-,-,-,-,-,-,-,,,
412120 QUITANDINHA,,,12,7,8,8,13,12,7,4,,,
412125 RAMILANDIA,,,-,-,-,-,-,-,-,-,,,
412130 RANCHO ALEGRE,,,-,-,-,-,-,-,-,-,,,
412135 RANCHO ALEGRE D'OESTE,,,-,-,-,-,-,-,-,-,,,
412140 REALEZA,,,-,-,-,-,-,-,-,-,,,
412150 REBOUCAS,,,8,16,17,15,8,7,6,6,,,
412160 RENASCENCA,,,-,-,-,-,-,-,-,-,,,
412170 RESERVA,,,-,-,-,-,-,-,-,-,,,
412175 RESERVA DO IGUACU,,,-,-,-,-,-,-,-,-,,,
412180 RIBEIRAO CLARO,,,10,4,4,4,4,8,3,2,,,
412190 RIBEIRAO DO PINHAL,,,3,7,16,34,14,10,3,-,,,
412200 RIO AZUL,,,6,9,4,6,9,1,4,-,,,
412210 RIO BOM,,,-,-,-,-,-,-,-,-,,,
412215 RIO BONITO DO IGUACU,,,-,-,-,-,-,-,-,-,,,
412217 RIO BRANCO DO IVAI,,,-,-,-,-,-,-,-,-,,,
412220 RIO BRANCO DO SUL,,,47,13,7,5,7,6,3,3,,,
412230 RIO NEGRO,,,2,4,9,4,1,2,3,2,,,
412240 ROLANDIA,,,22,20,20,21,14,10,9,2,,,
412250 RONCADOR,,,12,10,17,11,11,10,6,9,,,
412260 RONDON,,,21,13,8,13,34,3,6,-,,,
412265 ROSARIO DO IVAI,,,-,-,-,-,-,-,-,-,,,
412270 SABAUDIA,,,-,-,-,-,-,-,-,-,,,
412280 SALGADO FILHO,,,-,-,-,-,-,-,-,-,,,
412290 SALTO DO ITARARE,,,-,2,-,-,-,1,-,1,,,
412300 SALTO DO LONTRA,,,-,-,-,-,-,-,-,-,,,
412310 SANTA AMELIA,,,-,-,-,-,-,-,-,-,,,
412320 SANTA CECILIA DO PAVAO,,,-,-,-,-,-,-,-,-,,,
412330 SANTA CRUZ DE MONTE CASTELO,,,-,-,-,-,-,-,-,-,,,
412340 SANTA FE,,,-,-,-,-,-,-,-,-,,,
412350 SANTA HELENA,,,13,12,13,18,14,7,15,2,,,
412360 SANTA INES,,,-,-,-,-,-,-,-,-,,,
412370 SANTA ISABEL DO IVAI,,,4,12,6,7,9,1,2,1,,,
412380 SANTA IZABEL DO OESTE,,,-,1,2,10,6,3,6,-,,,
412382 SANTA LUCIA,,,-,-,-,-,-,-,-,-,,,
412385 SANTA MARIA DO OESTE,,,-,-,-,-,-,-,-,-,,,
412390 SANTA MARIANA,,,83,64,74,102,117,72,61,4,,,
412395 SANTA MONICA,,,-,-,-,-,-,-,-,-,,,
412400 SANTANA DO ITARARE,,,5,4,10,-,-,3,1,-,,,
412402 SANTA TEREZA DO OESTE,,,-,-,-,-,-,-,-,-,,,
412405 SANTA TEREZINHA DE ITAIPU,,,-,-,-,-,-,-,-,-,,,
412410 SANTO ANTONIO DA PLATINA,,,84,65,37,30,62,48,31,17,,,
412420 SANTO ANTONIO DO CAIUA,,,-,1,-,-,1,2,-,-,,,
412430 SANTO ANTONIO DO PARAISO,,,-,-,-,-,-,-,-,-,,,
412440 SANTO ANTONIO DO SUDOESTE,,,24,28,30,24,9,9,15,7,,,
412450 SANTO INACIO,,,-,-,-,-,-,-,-,-,,,
412460 SAO CARLOS DO IVAI,,,2,7,4,4,4,10,1,1,,,
412470 SAO JERONIMO DA SERRA,,,-,-,-,-,-,-,-,-,,,
412480 SAO JOAO,,,-,-,-,-,-,-,-,-,,,
412490 SAO JOAO DO CAIUA,,,4,1,-,-,3,1,-,3,,,
412500 SAO JOAO DO IVAI,,,-,1,5,9,5,-,3,2,,,
412510 SAO JOAO DO TRIUNFO,,,-,-,-,1,-,-,-,1,,,
412520 SAO JORGE D'OESTE,,,15,7,9,18,5,3,1,-,,,
412530 SAO JORGE DO IVAI,,,-,-,-,-,-,-,-,-,,,
412535 SAO JORGE DO PATROCINIO,,,3,3,3,9,4,2,-,1,,,
412540 SAO JOSE DA BOA VISTA,,,5,4,1,2,2,-,2,1,,,
412545 SAO JOSE DAS PALMEIRAS,,,-,-,-,-,-,-,-,-,,,
412550 SAO JOSE DOS PINHAIS,,,46,52,52,40,36,38,44,22,,,
412555 SAO MANOEL DO PARANA,,,-,-,-,-,-,-,-,-,,,
412560 SAO MATEUS DO SUL,,,11,2,3,8,8,7,10,3,,,
412570 SAO MIGUEL DO IGUACU,,,1,4,3,-,5,-,1,2,,,
412575 SAO PEDRO DO IGUACU,,,-,-,-,-,-,-,-,-,,,
412580 SAO PEDRO DO IVAI,,,3,4,4,12,13,4,5,2,,,
412590 SAO PEDRO DO PARANA,,,-,-,-,-,-,-,-,-,,,
412600 SAO SEBASTIAO DA AMOREIRA,,,-,-,-,-,-,-,-,-,,,
412610 SAO TOME,,,-,-,-,-,-,-,-,-,,,
412620 SAPOPEMA,,,-,1,-,-,-,-,-,1,,,
412625 SARANDI,,,34,80,42,43,41,16,-,-,,,
412627 SAUDADE DO IGUACU,,,-,-,-,-,-,-,-,-,,,
412630 SENGES,,,-,-,-,-,-,-,-,-,,,
412635 SERRANOPOLIS DO IGUACU,,,-,-,-,-,-,-,-,-,,,
412640 SERTANEJA,,,-,-,-,-,-,-,1,-,,,
412650 SERTANOPOLIS,,,-,-,2,-,2,-,-,-,,,
412660 SIQUEIRA CAMPOS,,,9,4,5,3,2,7,1,7,,,
412665 SULINA,,,-,-,-,-,-,-,-,-,,,
412667 TAMARANA,,,1,1,1,-,2,-,-,1,,,
412670 TAMBOARA,,,8,7,3,3,6,1,2,2,,,
412680 TAPEJARA,,,-,-,-,-,-,-,-,-,,,
412690 TAPIRA,,,-,-,-,-,-,-,-,-,,,
412700 TEIXEIRA SOARES,,,12,14,7,8,10,5,5,9,,,
412710 TELEMACO BORBA,,,53,60,26,31,24,19,22,5,,,
412720 TERRA BOA,,,21,34,41,75,40,12,4,-,,,
412730 TERRA RICA,,,4,3,3,2,5,1,3,-,,,
412740 TERRA ROXA,,,-,-,-,-,-,-,-,-,,,
412750 TIBAGI,,,7,11,14,17,-,-,-,-,,,
412760 TIJUCAS DO SUL,,,3,8,1,3,-,2,4,4,,,
412770 TOLEDO,,,42,73,61,44,46,19,2,2,,,
412780 TOMAZINA,,,8,-,13,19,9,2,3,3,,,
412785 TRES BARRAS DO PARANA,,,7,5,6,11,8,-,1,1,,,
412788 TUNAS DO PARANA,,,-,-,-,-,-,-,-,-,,,
412790 TUNEIRAS DO OESTE,,,4,7,6,5,21,10,2,-,,,
412795 TUPASSI,,,3,-,2,3,-,-,-,-,,,
412796 TURVO,,,5,3,4,2,3,2,3,-,,,
412800 UBIRATA,,,24,28,30,47,40,14,19,5,,,
412810 UMUARAMA,,,126,161,79,77,105,49,23,13,,,
412820 UNIAO DA VITORIA,,,34,55,31,39,37,46,31,14,,,
412830 UNIFLOR,,,-,-,-,-,-,-,-,-,,,
412840 URAI,,,5,1,-,2,1,2,1,-,,,
412850 WENCESLAU BRAZ,,,8,2,1,-,1,2,1,2,,,
412853 VENTANIA,,,-,-,-,-,-,-,-,-,,,
412855 VERA CRUZ DO OESTE,,,5,2,12,11,7,1,1,-,,,
412860 VERE,,,13,18,25,12,9,4,5,6,,,
412862 ALTO PARAISO,,,-,-,-,-,-,-,-,-,,,
412863 DOUTOR ULYSSES,,,-,-,-,-,-,-,-,-,,,
412865 VIRMOND,,,-,-,-,-,-,-,-,-,,,
412870 VITORINO,,,-,-,-,-,-,-,-,-,,,
412880 XAMBRE,,,-,-,-,-,-,-,-,-,,,
420005 ABDON BATISTA,,,-,-,-,-,-,-,-,-,,,
420010 ABELARDO LUZ,,,4,7,25,17,7,-,2,-,,,
420020 AGROLANDIA,,,-,-,-,-,-,-,-,-,,,
420030 AGRONOMICA,,,-,-,-,-,-,-,-,-,,,
420040 AGUA DOCE,,,8,3,8,4,8,6,6,4,,,
420050 AGUAS DE CHAPECO,,,-,-,-,-,-,-,-,-,,,
420055 AGUAS FRIAS,,,-,-,-,-,-,-,-,-,,,
420060 AGUAS MORNAS,,,-,-,-,-,-,-,-,-,,,
420070 ALFREDO WAGNER,,,-,-,3,1,3,4,-,-,,,
420075 ALTO BELA VISTA,,,-,-,-,-,-,-,-,-,,,
420080 ANCHIETA,,,-,-,-,-,-,-,-,-,,,
420090 ANGELINA,,,5,2,2,-,-,-,1,-,,,
420100 ANITA GARIBALDI,,,16,11,41,27,28,21,26,24,,,
420110 ANITAPOLIS,,,1,1,7,5,3,-,-,-,,,
420120 ANTONIO CARLOS,,,-,-,-,-,-,-,-,-,,,
420125 APIUNA,,,-,-,-,-,-,-,-,-,,,
420127 ARABUTA,,,-,-,-,-,-,2,1,1,,,
420130 ARAQUARI,,,-,-,-,-,-,-,-,-,,,
420140 ARARANGUA,,,42,27,15,8,16,19,15,13,,,
420150 ARMAZEM,,,23,22,27,22,15,7,4,3,,,
420160 ARROIO TRINTA,,,6,7,3,14,9,3,2,7,,,
420165 ARVOREDO,,,-,-,-,-,-,-,-,-,,,
420170 ASCURRA,,,-,-,-,-,-,-,-,-,,,
420180 ATALANTA,,,-,-,-,-,-,-,-,-,,,
420190 AURORA,,,-,-,-,-,-,-,-,-,,,
420195 BALNEARIO ARROIO DO SILVA,,,-,-,-,-,-,-,-,-,,,
420200 BALNEARIO CAMBORIU,,,100,50,47,47,37,29,13,4,,,
420205 BALNEARIO BARRA DO SUL,,,-,-,-,-,-,-,-,-,,,
420207 BALNEARIO GAIVOTA,,,-,-,-,-,-,-,-,-,,,
420208 BANDEIRANTE,,,-,-,-,-,-,-,-,-,,,
420209 BARRA BONITA,,,-,-,-,-,-,-,-,-,,,
420210 BARRA VELHA,,,-,-,-,-,-,-,-,-,,,
420213 BELA VISTA DO TOLDO,,,-,-,-,-,-,-,-,-,,,
420215 BELMONTE,,,-,-,-,-,-,-,-,-,,,
420220 BENEDITO NOVO,,,-,-,-,-,-,-,-,-,,,
420230 BIGUACU,,,54,14,6,4,6,12,4,2,,,
420240 BLUMENAU,,,189,193,123,199,282,164,130,89,,,
420243 BOCAINA DO SUL,,,-,-,-,-,-,-,-,-,,,
420245 BOMBINHAS,,,-,-,-,-,-,-,-,-,,,
420250 BOM JARDIM DA SERRA,,,-,-,-,-,-,-,-,-,,,
420253 BOM JESUS,,,-,-,-,-,-,-,-,-,,,
420257 BOM JESUS DO OESTE,,,-,-,-,-,-,-,-,-,,,
420260 BOM RETIRO,,,7,14,10,8,7,8,1,2,,,
420270 BOTUVERA,,,-,-,-,-,-,-,-,-,,,
420280 BRACO DO NORTE,,,23,28,24,23,29,25,24,11,,,
420285 BRACO DO TROMBUDO,,,-,-,-,-,-,-,-,-,,,
420287 BRUNOPOLIS,,,-,-,-,-,-,-,-,-,,,
420290 BRUSQUE,,,49,36,35,46,56,21,9,1,,,
420300 CACADOR,,,26,38,22,18,23,18,4,5,,,
420310 CAIBI,,,-,3,11,11,11,6,-,1,,,
420315 CALMON,,,-,-,-,-,-,-,-,-,,,
420320 CAMBORIU,,,9,4,-,-,-,-,-,-,,,
420325 CAPAO ALTO,,,-,-,-,-,-,-,-,-,,,
420330 CAMPO ALEGRE,,,1,2,-,1,3,6,-,1,,,
420340 CAMPO BELO DO SUL,,,4,3,4,3,1,7,10,7,,,
420350 CAMPO ERE,,,9,8,10,13,7,4,3,-,,,
420360 CAMPOS NOVOS,,,26,21,13,10,10,12,4,1,,,
420370 CANELINHA,,,2,-,-,1,-,-,1,-,,,
420380 CANOINHAS,,,47,51,13,12,11,12,11,11,,,
420390 CAPINZAL,,,19,14,7,8,8,10,8,-,,,
420395 CAPIVARI DE BAIXO,,,-,-,-,-,-,-,-,-,,,
420400 CATANDUVAS,,,-,-,-,-,-,-,-,-,,,
420410 CAXAMBU DO SUL,,,4,1,15,53,35,6,-,-,,,
420415 CELSO RAMOS,,,-,-,-,-,-,-,-,-,,,
420417 CERRO NEGRO,,,-,-,-,-,-,-,-,-,,,
420419 CHAPADAO DO LAGEADO,,,-,-,-,-,-,-,-,-,,,
420420 CHAPECO,,,103,98,77,56,53,26,7,1,,,
420425 COCAL DO SUL,,,-,-,-,-,-,-,-,-,,,
420430 CONCORDIA,,,84,82,61,62,71,35,11,-,,,
420435 CORDILHEIRA ALTA,,,-,-,-,-,-,-,-,-,,,
420440 CORONEL FREITAS,,,7,2,12,25,15,5,1,4,,,
420445 CORONEL MARTINS,,,-,-,-,-,-,-,-,-,,,
420450 CORUPA,,,-,-,-,-,-,-,-,-,,,
420455 CORREIA PINTO,,,3,4,1,2,2,1,1,-,,,
420460 CRICIUMA,,,96,69,63,64,64,20,8,3,,,
420470 CUNHA PORA,,,8,6,11,13,9,6,3,7,,,
420475 CUNHATAI,,,-,-,-,-,-,-,-,-,,,
420480 CURITIBANOS,,,37,52,25,18,25,20,27,10,,,
420490 DESCANSO,,,11,40,67,48,21,7,6,2,,,
420500 DIONISIO CERQUEIRA,,,18,20,22,8,12,6,9,4,,,
420510 DONA EMMA,,,-,-,-,-,-,-,-,-,,,
420515 DOUTOR PEDRINHO,,,-,-,-,-,-,-,-,-,,,
420517 ENTRE RIOS,,,-,-,-,-,-,-,-,-,,,
420519 ERMO,,,-,-,-,-,-,-,-,-,,,
420520 ERVAL VELHO,,,-,-,-,-,-,-,-,-,,,
420530 FAXINAL DOS GUEDES,,,-,5,5,8,1,1,1,1,,,
420535 FLOR DO SERTAO,,,-,-,-,-,-,-,-,-,,,
420540 FLORIANOPOLIS,,,309,227,214,214,234,188,160,52,,,
420543 FORMOSA DO SUL,,,-,-,-,-,-,-,-,-,,,
420545 FORQUILHINHA,,,-,-,-,-,-,-,-,-,,,
420550 FRAIBURGO,,,24,13,2,12,11,8,8,4,,,
420555 FREI ROGERIO,,,-,-,-,-,-,-,-,-,,,
420560 GALVAO,,,-,-,-,-,-,-,-,-,,,
420570 GAROPABA,,,-,-,-,-,-,-,-,-,,,
420580 GARUVA,,,-,-,-,-,-,-,-,-,,,
420590 GASPAR,,,30,21,7,14,14,8,10,7,,,
420600 GOVERNADOR CELSO RAMOS,,,-,-,-,-,-,-,-,-,,,
420610 GRAO PARA,,,-,-,-,-,-,-,-,-,,,
420620 GRAVATAL,,,-,-,-,-,-,-,-,-,,,
420630 GUABIRUBA,,,-,-,-,-,-,-,-,-,,,
420640 GUARACIABA,,,11,20,100,53,25,6,2,3,,,
420650 GUARAMIRIM,,,9,10,8,8,9,8,4,6,,,
420660 GUARUJA DO SUL,,,12,11,10,23,15,7,11,11,,,
420665 GUATAMBU,,,-,-,-,-,-,-,-,-,,,
420670 HERVAL D'OESTE,,,-,-,-,-,-,-,-,-,,,
420675 IBIAM,,,-,-,-,-,-,-,-,-,,,
420680 IBICARE,,,-,-,-,-,-,-,-,-,,,
420690 IBIRAMA,,,25,25,17,11,18,18,1,-,,,
420700 ICARA,,,83,63,27,31,35,36,38,13,,,
420710 ILHOTA,,,-,-,-,-,-,-,-,-,,,
420720 IMARUI,,,-,-,-,-,-,-,-,-,,,
420730 IMBITUBA,,,51,21,15,15,9,9,6,10,,,
420740 IMBUIA,,,-,-,-,-,-,-,-,-,,,
420750 INDAIAL,,,19,26,8,7,19,8,3,1,,,
420757 IOMERE,,,-,-,-,-,-,-,-,-,,,
420760 IPIRA,,,-,3,-,1,1,-,-,-,,,
420765 IPORA DO OESTE,,,19,24,57,36,7,10,4,3,,,
420768 IPUACU,,,-,-,-,-,-,-,-,-,,,
420770 IPUMIRIM,,,1,1,-,1,1,2,2,2,,,
420775 IRACEMINHA,,,-,-,-,-,-,-,-,-,,,
420780 IRANI,,,-,-,-,-,-,-,-,-,,,
420785 IRATI,,,-,-,-,-,-,-,-,-,,,
420790 IRINEOPOLIS,,,4,14,8,5,1,4,1,4,,,
420800 ITA,,,1,11,30,14,4,-,1,1,,,
420810 ITAIOPOLIS,,,7,1,8,3,6,1,3,-,,,
420820 ITAJAI,,,143,98,70,55,53,24,23,-,,,
420830 ITAPEMA,,,25,7,-,6,6,4,1,3,,,
420840 ITAPIRANGA,,,9,1,9,9,3,4,-,3,,,
420845 ITAPOA,,,-,-,-,-,-,-,-,-,,,
420850 ITUPORANGA,,,16,13,12,10,11,18,7,4,,,
420860 JABORA,,,-,-,-,-,-,-,-,-,,,
420870 JACINTO MACHADO,,,10,8,13,3,6,6,13,5,,,
420880 JAGUARUNA,,,8,11,9,13,11,7,7,6,,,
420890 JARAGUA DO SUL,,,81,77,64,47,64,18,5,-,,,
420895 JARDINOPOLIS,,,-,-,-,-,-,-,-,-,,,
420900 JOACABA,,,47,32,25,14,18,15,17,1,,,
420910 JOINVILLE,,,365,276,208,272,334,344,172,42,,,
420915 JOSE BOITEUX,,,-,-,-,-,-,-,-,-,,,
420917 JUPIA,,,-,-,-,-,-,-,-,-,,,
420920 LACERDOPOLIS,,,-,-,-,-,-,-,-,-,,,
420930 LAGES,,,152,148,74,83,75,62,49,28,,,
420940 LAGUNA,,,42,29,15,25,33,25,15,-,,,
420945 LAJEADO GRANDE,,,-,-,-,-,-,-,-,-,,,
420950 LAURENTINO,,,-,-,-,-,-,-,-,-,,,
420960 LAURO MULLER,,,4,6,2,3,4,1,-,1,,,
420970 LEBON REGIS,,,2,4,1,-,2,2,2,1,,,
420980 LEOBERTO LEAL,,,-,-,-,-,-,-,-,-,,,
420985 LINDOIA DO SUL,,,-,1,2,3,1,-,-,1,,,
420990 LONTRAS,,,-,-,-,-,-,-,-,-,,,
421000 LUIZ ALVES,,,-,-,-,-,-,-,-,-,,,
421003 LUZERNA,,,15,4,3,-,1,-,-,2,,,
421005 MACIEIRA,,,-,-,-,-,-,-,-,-,,,
421010 MAFRA,,,24,29,18,15,19,13,7,1,,,
421020 MAJOR GERCINO,,,-,-,-,-,-,-,-,-,,,
421030 MAJOR VIEIRA,,,12,12,12,18,15,12,16,19,,,
421040 MARACAJA,,,-,-,-,-,-,-,-,-,,,
421050 MARAVILHA,,,17,15,60,74,38,2,-,-,,,
421055 MAREMA,,,-,-,-,-,-,-,-,-,,,
421060 MASSARANDUBA,,,3,2,4,6,1,1,2,3,,,
421070 MATOS COSTA,,,-,-,-,-,-,-,-,-,,,
421080 MELEIRO,,,21,20,16,4,4,6,5,5,,,
421085 MIRIM DOCE,,,-,-,-,-,-,-,-,-,,,
421090 MODELO,,,6,3,2,2,2,6,1,2,,,
421100 MONDAI,,,1,9,13,57,13,3,1,2,,,
421105 MONTE CARLO,,,-,-,-,-,-,-,-,-,,,
421110 MONTE CASTELO,,,-,-,-,-,-,-,-,-,,,
421120 MORRO DA FUMACA,,,39,7,11,6,14,5,8,5,,,
421125 MORRO GRANDE,,,-,-,-,-,-,-,-,-,,,
421130 NAVEGANTES,,,34,31,13,7,5,3,5,-,,,
421140 NOVA ERECHIM,,,2,-,1,2,-,-,1,1,,,
421145 NOVA ITABERABA,,,-,-,-,-,-,-,-,-,,,
421150 NOVA TRENTO,,,31,15,7,7,2,7,4,2,,,
421160 NOVA VENEZA,,,7,6,5,5,2,3,-,3,,,
421165 NOVO HORIZONTE,,,-,-,-,-,-,-,-,-,,,
421170 ORLEANS,,,16,8,3,3,2,3,2,-,,,
421175 OTACILIO COSTA,,,17,17,3,7,10,4,9,5,,,
421180 OURO,,,-,-,-,-,-,-,-,-,,,
421185 OURO VERDE,,,-,-,-,-,-,-,-,-,,,
421187 PAIAL,,,-,-,-,-,-,-,-,-,,,
421189 PAINEL,,,-,-,-,-,-,-,-,-,,,
421190 PALHOCA,,,-,-,-,-,-,-,-,-,,,
421200 PALMA SOLA,,,12,10,15,7,10,4,9,3,,,
421205 PALMEIRA,,,-,-,-,-,-,-,-,-,,,
421210 PALMITOS,,,32,13,38,44,22,4,6,1,,,
421220 PAPANDUVA,,,2,4,-,-,2,-,1,-,,,
421223 PARAISO,,,-,-,-,-,-,-,-,-,,,
421225 PASSO DE TORRES,,,-,-,-,-,-,-,-,-,,,
421227 PASSOS MAIA,,,-,-,-,-,-,-,-,-,,,
421230 PAULO LOPES,,,-,-,-,-,-,-,-,-,,,
421240 PEDRAS GRANDES,,,-,-,-,-,-,-,-,-,,,
421250 PENHA,,,-,-,-,-,-,-,-,-,,,
421260 PERITIBA,,,2,1,1,1,-,-,1,1,,,
421265 PESCARIA BRAVA,,,-,-,-,-,-,-,-,-,,,
421270 PETROLANDIA,,,-,-,-,-,-,-,-,-,,,
421280 BALNEARIO PICARRAS,,,-,-,-,-,-,-,-,-,,,
421290 PINHALZINHO,,,1,3,8,10,1,3,1,1,,,
421300 PINHEIRO PRETO,,,-,-,-,-,-,-,-,-,,,
421310 PIRATUBA,,,-,-,-,-,-,-,-,-,,,
421315 PLANALTO ALEGRE,,,-,-,-,-,-,-,-,-,,,
421320 POMERODE,,,15,3,5,3,3,1,3,-,,,
421330 PONTE ALTA,,,-,-,-,-,-,-,-,-,,,
421335 PONTE ALTA DO NORTE,,,-,-,-,-,-,-,-,-,,,
421340 PONTE SERRADA,,,107,94,76,57,48,42,51,50,,,
421350 PORTO BELO,,,-,-,-,-,-,-,-,-,,,
421360 PORTO UNIAO,,,9,10,7,13,15,6,1,-,,,
421370 POUSO REDONDO,,,21,20,6,23,12,16,13,12,,,
421380 PRAIA GRANDE,,,26,25,12,17,12,9,5,6,,,
421390 PRESIDENTE CASTELLO BRANCO,,,-,-,-,-,-,-,-,-,,,
421400 PRESIDENTE GETULIO,,,9,7,4,6,6,3,4,1,,,
421410 PRESIDENTE NEREU,,,-,-,-,-,-,-,-,-,,,
421415 PRINCESA,,,-,-,-,-,-,-,-,-,,,
421420 QUILOMBO,,,8,5,16,15,17,1,5,9,,,
421430 RANCHO QUEIMADO,,,-,-,-,-,-,-,-,-,,,
421440 RIO DAS ANTAS,,,-,-,-,-,-,-,-,-,,,
